trial_id,cancer_type,status,facility,address,city,province,latitude,longitude,principal_investigator,url
CCTG-18-8948,Kidney Cancer,Completed,Grand River University Health Network,"9570 Princess Avenue, Grand Falls-Windsor, Newfoundland and Labrador, A1B 7V0",Grand Falls-Windsor,Newfoundland and Labrador,48.9216,-55.6893,Sofia Morgan,https://cancertrialscanada.com/trial/CCTG-18-8948
IND-19-0445,Breast Cancer,Terminated,Mackenzie Health Cancer Care Centre,"6372 Park Road, Summerside, Prince Edward Island, C0A 3T2",Summerside,Prince Edward Island,46.3888,-63.8127,Donna Gauthier,https://cancertrialscanada.com/trial/IND-19-0445
CCTG-14-1342,Bladder Cancer,Completed,Sault Area Hospital Cancer Care Centre,"4263 Oak Ave, Chilliwack, British Columbia, V1Y 4T5",Chilliwack,British Columbia,49.1529,-121.9133,Patricia Bailey,https://cancertrialscanada.com/trial/CCTG-14-1342
BCCA-17-1875,Bone Cancer,Recruiting,Hamilton Health Sciences Cancer Treatment Centre,"1125 Wellington Street, Moncton, New Brunswick, E1C 1K3",Moncton,New Brunswick,46.1149,-64.8448,Raj Williams,https://cancertrialscanada.com/trial/BCCA-17-1875
CCTG-16-3250,Adrenal Cancer,Recruiting,Cross Cancer Regional Cancer Program,"9927 Victoria Street, Summerside, Prince Edward Island, C1A 3M1",Summerside,Prince Edward Island,46.3865,-63.8144,Kimberly Brown,https://cancertrialscanada.com/trial/CCTG-16-3250
UHN-18-5591,Cervical Cancer,Completed,McGill University Health Centre Integrated Cancer Centre,"4942 Queen Street, Nanaimo, British Columbia, V9R 2Y0",Nanaimo,British Columbia,49.1791,-123.9273,Jennifer Gauthier,https://cancertrialscanada.com/trial/UHN-18-5591
CTEP-22-7922,Bone Cancer,Completed,Lakeridge Health Cancer Research Centre,"7533 Princess Avenue, Oshawa, Ontario, L8N 7H8",Oshawa,Ontario,43.892,-78.851,Luis Campbell,https://cancertrialscanada.com/trial/CTEP-22-7922
CancerCare-12-7989,Thyroid Cancer,Recruiting,Thunder Bay Regional Centre for Cancer Medicine,"4023 Medical Centre Blvd, Miramichi, New Brunswick, E3B 8K7",Miramichi,New Brunswick,47.0526,-65.4908,Dorothy Bailey,https://cancertrialscanada.com/trial/CancerCare-12-7989
OCN-21-7801,Esophageal Cancer,"Active, not recruiting",Brantford General Integrated Cancer Centre,"4527 Birch Road, Saguenay, Quebec, H3A 9J1",Saguenay,Quebec,48.4598,-71.086,Paul Singh,https://cancertrialscanada.com/trial/OCN-21-7801
CTEP-15-5765,Cervical Cancer,Not yet recruiting,Moncton City Hospital University Health Network,"3987 College Ave, Miramichi, New Brunswick, E2A 6V8",Miramichi,New Brunswick,47.0493,-65.5407,Margaret Cook,https://cancertrialscanada.com/trial/CTEP-15-5765
CTEP-19-4637,Bladder Cancer,Completed,Huntsville District Cancer Treatment Centre,"5170 Health Sciences Way, Fredericton, New Brunswick, E2A 3J3",Fredericton,New Brunswick,45.9407,-66.6669,Sharon Park,https://cancertrialscanada.com/trial/CTEP-19-4637
BCCA-20-8043,Kidney Cancer,Completed,Sault Area Hospital Oncology Research Institute,"232 Princess Avenue, Courtenay, British Columbia, V2C 3L0",Courtenay,British Columbia,49.6594,-125.0173,Michael Lavoie,https://cancertrialscanada.com/trial/BCCA-20-8043
IND-20-0879,Brain Cancer,"Active, not recruiting",Trillium Health General Hospital Cancer Program,"5583 Research Drive, Courtenay, British Columbia, V5Z 5V1",Courtenay,British Columbia,49.6412,-125.0116,Priya Wilson,https://cancertrialscanada.com/trial/IND-20-0879
CCTG-14-9317,Kidney Cancer,Suspended,London Health Sciences Cancer Treatment Centre,"1941 Birch Road, Red Deer, Alberta, T8V 4W6",Red Deer,Alberta,52.3011,-113.7651,Sarah Wang,https://cancertrialscanada.com/trial/CCTG-14-9317
NCI-21-9730,Lymphoma,Recruiting,South Muskoka Memorial Cancer Treatment Centre,"3458 Main Street, Charlottetown, Prince Edward Island, C1A 3K2",Charlottetown,Prince Edward Island,46.251,-63.106,Ashley Anderson,https://cancertrialscanada.com/trial/NCI-21-9730
BCCA-24-4353,Uterine Cancer,Recruiting,University of Alberta Integrated Cancer Centre,"7439 Medical Centre Blvd, Fredericton, New Brunswick, E2L 5Y3",Fredericton,New Brunswick,45.9133,-66.6612,Jessica Harris,https://cancertrialscanada.com/trial/BCCA-24-4353
NCI-17-1318,Bladder Cancer,"Active, not recruiting",Brantford General Integrated Cancer Centre,"9326 College Ave, Edmonton, Alberta, T4A 2T4",Edmonton,Alberta,53.506,-113.4407,Deborah Shah,https://cancertrialscanada.com/trial/NCI-17-1318
NCI-24-4558,Esophageal Cancer,"Active, not recruiting",Brantford General Oncology Research Institute,"424 Medical Centre Blvd, Charlottetown, Prince Edward Island, C1N 1L9",Charlottetown,Prince Edward Island,46.2789,-63.1065,John King,https://cancertrialscanada.com/trial/NCI-24-4558
CCTG-23-9013,Multiple Myeloma,"Active, not recruiting",London Health Sciences General Hospital Cancer Program,"5701 Maple Drive, Leduc, Alberta, T1A 6E2",Leduc,Alberta,53.2536,-113.5186,Patricia Singh,https://cancertrialscanada.com/trial/CCTG-23-9013
IND-22-8168,Pancreatic Cancer,"Active, not recruiting",QEII Health Sciences Advanced Cancer Research Institute,"6623 Elm Ave, Windsor, Ontario, L1H 1X7",Windsor,Ontario,42.2588,-83.0348,Susan Miller,https://cancertrialscanada.com/trial/IND-22-8168
OCN-23-1859,Uterine Cancer,"Active, not recruiting",University of Alberta General Hospital Cancer Program,"7942 Health Sciences Way, Moncton, New Brunswick, E1C 4H4",Moncton,New Brunswick,46.0604,-64.7951,Ashley Johnson,https://cancertrialscanada.com/trial/OCN-23-1859
OCN-24-9821,Uterine Cancer,Recruiting,Muskoka Algonquin Oncology Research Institute,"8338 Princess Avenue, Moncton, New Brunswick, E3B 7V7",Moncton,New Brunswick,46.1048,-64.8346,Paul Liu,https://cancertrialscanada.com/trial/OCN-24-9821
NCI-23-2435,Vulvar Cancer,"Active, not recruiting",Riverside Health Centre for Cancer Medicine,"6799 Park Road, Corner Brook, Newfoundland and Labrador, A2V 5A4",Corner Brook,Newfoundland and Labrador,48.9864,-57.9724,Rebecca Collins,https://cancertrialscanada.com/trial/NCI-23-2435
HREBA.CC-15-7750,Penile Cancer,Completed,South Muskoka Memorial Medical Sciences Centre,"6181 Cedar Blvd, Bathurst, New Brunswick, E3B 4K9",Bathurst,New Brunswick,47.6184,-65.6668,Barbara Mitchell,https://cancertrialscanada.com/trial/HREBA.CC-15-7750
UHN-18-7487,Penile Cancer,Completed,Headwaters Health Regional Cancer Program,"8116 University Ave, New Glasgow, Nova Scotia, B1P 9Y5",New Glasgow,Nova Scotia,45.6388,-62.6208,Li Jackson,https://cancertrialscanada.com/trial/UHN-18-7487
CTEP-16-5189,Penile Cancer,Recruiting,Allan Blair Comprehensive Cancer Centre,"7693 Dundas Street, Barrie, Ontario, L5B 6Z6",Barrie,Ontario,44.3544,-79.6529,Carol Taylor,https://cancertrialscanada.com/trial/CTEP-16-5189
HREBA.CC-10-5315,Multiple Myeloma,Recruiting,William Osler Provincial Cancer Agency,"4709 Oncology Blvd, Bathurst, New Brunswick, E1C 7E1",Bathurst,New Brunswick,47.5736,-65.6932,Sarah Wright,https://cancertrialscanada.com/trial/HREBA.CC-10-5315
NCI-24-9555,Bone Cancer,Completed,St. Paul's Medical Sciences Centre,"6752 Laurier Blvd, Mississauga, Ontario, K7L 3H2",Mississauga,Ontario,43.5758,-79.6469,William Bailey,https://cancertrialscanada.com/trial/NCI-24-9555
QCI-20-6952,Melanoma,Not yet recruiting,Sunnybrook Provincial Cancer Agency,"154 Dundas Street, Lethbridge, Alberta, T4A 5X2",Lethbridge,Alberta,49.6861,-112.8646,David Wang,https://cancertrialscanada.com/trial/QCI-20-6952
CCTG-14-0133,Multiple Myeloma,Recruiting,Victoria General Centre for Cancer Medicine,"7917 Health Sciences Way, Thompson, Manitoba, R7A 7Y5",Thompson,Manitoba,55.7745,-97.8901,Dorothy Edwards,https://cancertrialscanada.com/trial/CCTG-14-0133
BCCA-20-1592,Head and Neck Cancer,Completed,Perth and Smiths Falls Clinical Trials Unit,"4690 Wellington Street, Charlottetown, Prince Edward Island, C1N 6K3",Charlottetown,Prince Edward Island,46.2811,-63.1055,Donna Turner,https://cancertrialscanada.com/trial/BCCA-20-1592
CancerCare-18-8222,Leukemia,Completed,Cross Cancer Integrated Cancer Centre,"2154 Medical Centre Blvd, Mississauga, Ontario, L2S 5N6",Mississauga,Ontario,43.6189,-79.6867,Anthony Baker,https://cancertrialscanada.com/trial/CancerCare-18-8222
CCTG-23-9132,Penile Cancer,Completed,Trillium Health Advanced Cancer Research Institute,"4836 Richmond Road, Brandon, Manitoba, R5G 2T1",Brandon,Manitoba,49.8257,-99.9175,Daniel Carter,https://cancertrialscanada.com/trial/CCTG-23-9132
CTEP-15-9996,Esophageal Cancer,Recruiting,Pembroke Regional Comprehensive Cancer Centre,"7452 Centre Street, Saskatoon, Saskatchewan, S6V 7P1",Saskatoon,Saskatchewan,52.1591,-106.7186,Melissa Mitchell,https://cancertrialscanada.com/trial/CTEP-15-9996
CTEP-12-6368,Prostate Cancer,Recruiting,Georgian Bay General Oncology Research Institute,"6690 Health Sciences Way, Quebec City, Quebec, H7N 1B4",Quebec City,Quebec,46.8235,-71.2136,Nancy Harris,https://cancertrialscanada.com/trial/CTEP-12-6368
CancerCare-13-7265,Bladder Cancer,Recruiting,Pembroke Regional University Health Network,"9623 Richmond Road, Fredericton, New Brunswick, E2L 7E7",Fredericton,New Brunswick,45.977,-66.6157,Donna Singh,https://cancertrialscanada.com/trial/CancerCare-13-7265
UHN-20-3476,Penile Cancer,Completed,Collingwood General Cancer Research Centre,"8921 King Street, Saint John, New Brunswick, E3B 1R4",Saint John,New Brunswick,45.3055,-66.1001,Mark Martin,https://cancertrialscanada.com/trial/UHN-20-3476
IND-10-4543,Thyroid Cancer,Completed,CancerCare Manitoba Advanced Cancer Research Institute,"9251 Clinical Ave, Charlottetown, Prince Edward Island, C1A 9J9",Charlottetown,Prince Edward Island,46.1951,-63.1466,Donald Mitchell,https://cancertrialscanada.com/trial/IND-10-4543
BCCA-21-6898,Lymphoma,Recruiting,QEII Health Sciences Provincial Cancer Agency,"423 Cancer Centre Road, Red Deer, Alberta, T2N 6K9",Red Deer,Alberta,52.274,-113.7801,Mary Williams,https://cancertrialscanada.com/trial/BCCA-21-6898
CTEP-14-7505,Mesothelioma,Completed,Lake of the Woods District Cancer Research Centre,"8409 Laurier Blvd, St. John's, Newfoundland and Labrador, A1B 8W3",St. John's,Newfoundland and Labrador,47.5846,-52.7124,Sofia Garcia,https://cancertrialscanada.com/trial/CTEP-14-7505
IND-20-9591,Colorectal Cancer,Recruiting,Lakeridge Health Provincial Cancer Agency,"1769 Pine Street, Toronto, Ontario, L4M 8C1",Toronto,Ontario,43.6999,-79.3453,Mary Walker,https://cancertrialscanada.com/trial/IND-20-9591
OCN-16-5554,Cervical Cancer,"Active, not recruiting",University of Alberta General Hospital Cancer Program,"8283 Victoria Street, Gander, Newfoundland and Labrador, A2A 2E8",Gander,Newfoundland and Labrador,48.9481,-54.6003,Rebecca Nelson,https://cancertrialscanada.com/trial/OCN-16-5554
CancerCare-22-2132,Colorectal Cancer,"Active, not recruiting",Lakeridge Health Cancer Research Centre,"4177 Centre Street, Miramichi, New Brunswick, E2L 8C1",Miramichi,New Brunswick,47.0116,-65.5405,Raj Taylor,https://cancertrialscanada.com/trial/CancerCare-22-2132
CTEP-13-2536,Melanoma,Recruiting,Kingston General Provincial Cancer Agency,"2003 Maple Drive, St. John's, Newfoundland and Labrador, A1V 7B4",St. John's,Newfoundland and Labrador,47.5686,-52.7038,Emily Stewart,https://cancertrialscanada.com/trial/CTEP-13-2536
QCI-10-2956,Breast Cancer,Completed,North Bay Regional Cancer Research Centre,"1883 Wellington Street, Saint John, New Brunswick, E3B 4S8",Saint John,New Brunswick,45.3047,-66.075,Cynthia Fortin,https://cancertrialscanada.com/trial/QCI-10-2956
NCI-15-2579,Pancreatic Cancer,Recruiting,Sault Area Hospital Centre for Cancer Medicine,"2348 Laurier Blvd, Steinbach, Manitoba, R8N 2G0",Steinbach,Manitoba,49.5722,-96.6949,William Bouchard,https://cancertrialscanada.com/trial/NCI-15-2579
CCTG-17-9947,Bladder Cancer,"Active, not recruiting",Sault Area Community Cancer Centre,"1392 University Ave, Prince Albert, Saskatchewan, S4P 3Z0",Prince Albert,Saskatchewan,53.2222,-105.7223,Melissa Taylor,https://cancertrialscanada.com/trial/CCTG-17-9947
HREBA.CC-10-3350,Brain Cancer,Not yet recruiting,QEII Health Sciences Cancer Research Centre,"7044 Health Sciences Way, Miramichi, New Brunswick, E3B 8W4",Miramichi,New Brunswick,46.9973,-65.4745,John Carter,https://cancertrialscanada.com/trial/HREBA.CC-10-3350
CTEP-23-5803,Multiple Myeloma,Recruiting,University of Alberta Cancer Research Centre,"1966 Hospital Drive, Brandon, Manitoba, R8N 7H2",Brandon,Manitoba,49.8767,-99.9236,Barbara Gauthier,https://cancertrialscanada.com/trial/CTEP-23-5803
HREBA.CC-15-2816,Kidney Cancer,Recruiting,BC Cancer General Hospital Cancer Program,"1276 Park Road, Abbotsford, British Columbia, V9R 7Y6",Abbotsford,British Columbia,49.0862,-122.3358,Stephanie Kumar,https://cancertrialscanada.com/trial/HREBA.CC-15-2816
CancerCare-22-2755,Mesothelioma,Recruiting,London Health Sciences University Health Network,"1735 Oncology Blvd, Cornwall, Prince Edward Island, C0A 7W1",Cornwall,Prince Edward Island,46.2632,-63.168,Elizabeth Stewart,https://cancertrialscanada.com/trial/CancerCare-22-2755
BCCA-22-1235,Pancreatic Cancer,Recruiting,Royal Victoria Clinical Trials Unit,"5725 Centre Street, Kamloops, British Columbia, V1B 3K1",Kamloops,British Columbia,50.6833,-120.3269,Daniel Turner,https://cancertrialscanada.com/trial/BCCA-22-1235
QCI-22-4501,Esophageal Cancer,"Active, not recruiting",Timmins and District General Hospital Cancer Program,"9249 King Street, Airdrie, Alberta, T9E 6N2",Airdrie,Alberta,51.2864,-114.0036,Sarah Wilson,https://cancertrialscanada.com/trial/QCI-22-4501
CTEP-22-0673,Brain Cancer,"Active, not recruiting",Michael Garron General Hospital Cancer Program,"617 University Ave, Charlottetown, Prince Edward Island, C1B 5C1",Charlottetown,Prince Edward Island,46.2252,-63.1726,Donna Gagnon,https://cancertrialscanada.com/trial/CTEP-22-0673
NCI-17-8587,Lung Cancer,Recruiting,Trillium Health Medical Sciences Centre,"2472 University Ave, Bathurst, New Brunswick, E1V 2N1",Bathurst,New Brunswick,47.6352,-65.6678,Betty King,https://cancertrialscanada.com/trial/NCI-17-8587
QCI-14-9875,Uterine Cancer,Completed,University of Alberta University Health Network,"6698 Wellington Street, Labrador City, Newfoundland and Labrador, A1V 1N1",Labrador City,Newfoundland and Labrador,52.9059,-66.9327,Patricia Jackson,https://cancertrialscanada.com/trial/QCI-14-9875
CTEP-11-6938,Vulvar Cancer,Recruiting,Hamilton Health Sciences Oncology Research Institute,"6422 Cancer Centre Road, Medicine Hat, Alberta, T9E 2M8",Medicine Hat,Alberta,49.9982,-110.6636,Barbara Rogers,https://cancertrialscanada.com/trial/CTEP-11-6938
CTEP-10-5518,Stomach Cancer,Completed,Saint John Regional Cancer Research Centre,"7968 Clinical Ave, Gander, Newfoundland and Labrador, A2H 3G1",Gander,Newfoundland and Labrador,48.9118,-54.6291,Joshua Jackson,https://cancertrialscanada.com/trial/CTEP-10-5518
NCI-13-8750,Liver Cancer,Completed,Sault Area Hospital Centre for Cancer Medicine,"2713 Richmond Road, Summerside, Prince Edward Island, C0A 1S5",Summerside,Prince Edward Island,46.3997,-63.8246,Melissa Perez,https://cancertrialscanada.com/trial/NCI-13-8750
BCCA-23-3272,Stomach Cancer,"Active, not recruiting",Perth and Smiths Falls Cancer Treatment Centre,"6027 Queen Street, Sherbrooke, Quebec, J3B 8T4",Sherbrooke,Quebec,45.4466,-71.8716,Cynthia Bailey,https://cancertrialscanada.com/trial/BCCA-23-3272
CTEP-12-7168,Bladder Cancer,"Active, not recruiting",Trillium Health Centre for Cancer Medicine,"6082 Birch Road, Summerside, Prince Edward Island, C1A 9E4",Summerside,Prince Edward Island,46.4273,-63.8348,William Allen,https://cancertrialscanada.com/trial/CTEP-12-7168
HREBA.CC-15-1624,Colorectal Cancer,Recruiting,Hamilton Health Sciences Clinical Trials Unit,"437 Maple Drive, Campbell River, British Columbia, V5Z 7W5",Campbell River,British Columbia,49.9922,-125.2449,Paul Rivera,https://cancertrialscanada.com/trial/HREBA.CC-15-1624
BCCA-18-9976,Breast Cancer,Recruiting,Perth and Smiths Falls General Hospital Cancer Program,"2274 Wellington Street, Regina, Saskatchewan, S6H 8Z0",Regina,Saskatchewan,50.4138,-104.6413,Hiroshi Taylor,https://cancertrialscanada.com/trial/BCCA-18-9976
CTEP-19-3964,Bone Cancer,"Active, not recruiting",Dalhousie University Comprehensive Cancer Centre,"783 Oncology Blvd, Grand Falls-Windsor, Newfoundland and Labrador, A2A 8C1",Grand Falls-Windsor,Newfoundland and Labrador,48.8911,-55.6812,Raj Tremblay,https://cancertrialscanada.com/trial/CTEP-19-3964
CTEP-18-0334,Uterine Cancer,"Active, not recruiting",St. Paul's Community Cancer Centre,"6826 Research Drive, St. Albert, Alberta, T5J 9P1",St. Albert,Alberta,53.6229,-113.6185,Luis Bouchard,https://cancertrialscanada.com/trial/CTEP-18-0334
CTEP-15-2869,Leukemia,Recruiting,Cross Cancer Oncology Research Institute,"267 Centre Street, New Glasgow, Nova Scotia, B3H 6K1",New Glasgow,Nova Scotia,45.5444,-62.6613,Cynthia Rogers,https://cancertrialscanada.com/trial/CTEP-15-2869
CTEP-16-8898,Thyroid Cancer,Terminated,Juravinski Integrated Cancer Centre,"7499 University Ave, Miramichi, New Brunswick, E3B 4B3",Miramichi,New Brunswick,47.0332,-65.4689,Yuki Garcia,https://cancertrialscanada.com/trial/CTEP-16-8898
CCTG-15-3061,Mesothelioma,"Active, not recruiting",University of Alberta Cancer Research Centre,"784 King Street, Fredericton, New Brunswick, E3B 5E5",Fredericton,New Brunswick,45.9137,-66.6253,Jessica Shah,https://cancertrialscanada.com/trial/CCTG-15-3061
UHN-11-5373,Uterine Cancer,Recruiting,Mount Sinai Advanced Cancer Research Institute,"1354 Richmond Road, Miramichi, New Brunswick, E1V 2S9",Miramichi,New Brunswick,47.0067,-65.4703,Priya Scott,https://cancertrialscanada.com/trial/UHN-11-5373
HREBA.CC-11-6656,Soft Tissue Sarcoma,Not yet recruiting,Dr. H. Bliss Murphy Integrated Cancer Centre,"7273 Centre Street, Steinbach, Manitoba, R8N 1P9",Steinbach,Manitoba,49.5246,-96.6582,Jessica Parker,https://cancertrialscanada.com/trial/HREBA.CC-11-6656
IND-10-9914,Melanoma,Recruiting,BC Cancer Regional Cancer Program,"9955 Queen Street, Swift Current, Saskatchewan, S6H 1G1",Swift Current,Saskatchewan,50.3201,-107.7821,Paul Bell,https://cancertrialscanada.com/trial/IND-10-9914
